HCPCS,Modifier,"Maximum
Allowable","Effective
Date",End Date
L1755,NU,"$1,062.05",03/01/23,
L1755,RR,$106.20,03/01/23,
L1810,,$71.75,03/01/23,
L1810,NU,$71.75,03/01/23,
L1810,RR,$7.17,03/01/23,
L1812,,$63.42,03/01/23,
L1812,NU,$63.42,03/01/23,
L1812,RR,$6.34,03/01/23,
L1820,,$96.51,03/01/23,
L1820,NU,$96.51,03/01/23,
L1820,RR,$9.65,03/01/23,
L1830,,$54.16,03/01/23,
L1830,NU,$54.16,03/01/23,
L1830,RR,$5.42,03/01/23,
L1831,,$212.26,03/01/23,
L1831,NU,$212.26,03/01/23,
L1831,RR,$21.23,03/01/23,
L1832,,$407.83,03/01/23,
L1832,NU,$407.83,03/01/23,
L1832,RR,$40.79,03/01/23,
L1833,,$382.72,03/01/23,
L1833,NU,$382.72,03/01/23,
L1833,RR,$38.27,03/01/23,
L1834,,$520.72,03/01/23,
L1834,NU,$520.72,03/01/23,
L1834,RR,$52.07,03/01/23,
L1836,,$83.21,03/01/23,
L1836,NU,$83.21,03/01/23,
L1836,RR,$8.32,03/01/23,
L1840,,$757.88,03/01/23,
L1840,NU,$757.88,03/01/23,
L1840,RR,$75.79,03/01/23,
L1843,,$647.14,03/01/23,
L1843,NU,$647.14,03/01/23,
L1843,RR,$64.72,03/01/23,
L1844,,"$1,119.48",03/01/23,
L1844,NU,"$1,119.48",03/01/23,
L1844,RR,$111.95,03/01/23,
L1845,,$628.31,03/01/23,
L1845,NU,$628.31,03/01/23,
L1845,RR,$62.83,03/01/23,
L1846,,$787.37,03/01/23,
L1846,NU,$787.37,03/01/23,
L1846,RR,$78.74,03/01/23,
L1847,,$414.84,03/01/23,
L1847,NU,$414.84,03/01/23,
L1847,RR,$41.49,03/01/23,
L1848,,$414.84,03/01/23,
L1848,NU,$414.84,03/01/23,
L1848,RR,$41.49,03/01/23,
L1850,,$192.48,03/01/23,
L1850,NU,$192.48,03/01/23,
L1850,RR,$19.25,03/01/23,
L1851,,$559.58,03/01/23,
L1851,NU,$559.58,03/01/23,
L1851,RR,$55.96,03/01/23,
L1852,,$539.31,03/01/23,
L1852,NU,$539.31,03/01/23,
L1852,RR,$53.93,03/01/23,
L1860,,$733.62,03/01/23,
L1860,NU,$733.62,03/01/23,
L1860,RR,$73.37,03/01/23,
L1900,,$232.38,03/01/23,
L1900,NU,$232.38,03/01/23,
L1900,RR,$23.24,03/01/23,
L1902,,$71.40,03/01/23,
L1902,NU,$71.40,03/01/23,
L1902,RR,$7.14,03/01/23,
L1904,,$315.44,03/01/23,
L1904,NU,$315.44,03/01/23,
L1904,RR,$31.55,03/01/23,
L1906,,$80.68,03/01/23,
L1906,NU,$80.68,03/01/23,
L1906,RR,$8.06,03/01/23,
L1907,,$405.84,03/01/23,
L1907,NU,$405.84,03/01/23,
L1907,RR,$40.58,03/01/23,
L1910,,$202.10,03/01/23,
L1910,NU,$202.10,03/01/23,
L1910,RR,$20.21,03/01/23,
L1920,,$242.81,03/01/23,
L1920,NU,$242.81,03/01/23,
L1920,RR,$24.28,03/01/23,
L1930,,$211.58,03/01/23,
L1930,NU,$211.58,03/01/23,
L1930,RR,$21.16,03/01/23,
L1932,,$643.62,03/01/23,
L1932,NU,$643.62,03/01/23,
L1932,RR,$64.36,03/01/23,
L1940,,$339.67,03/01/23,
L1940,NU,$339.67,03/01/23,
L1940,RR,$33.97,03/01/23,
L1945,,$620.96,03/01/23,
L1945,NU,$620.96,03/01/23,
L1945,RR,$62.10,03/01/23,
L1950,,$501.35,03/01/23,
L1950,NU,$501.35,03/01/23,
L1950,RR,$50.14,03/01/23,
L1951,,$605.71,03/01/23,
L1951,NU,$605.71,03/01/23,
L1951,RR,$60.57,03/01/23,
L1960,,$371.82,03/01/23,
L1960,NU,$371.82,03/01/23,
L1960,RR,$37.18,03/01/23,
L1970,,$477.33,03/01/23,
L1970,NU,$477.33,03/01/23,
L1970,RR,$47.74,03/01/23,
L1971,,$338.06,03/01/23,
L1971,NU,$338.06,03/01/23,
L1971,RR,$33.80,03/01/23,
L1980,,$257.36,03/01/23,
L1980,NU,$257.36,03/01/23,
L1980,RR,$25.74,03/01/23,
L1990,,$299.01,03/01/23,
L1990,NU,$299.01,03/01/23,
L1990,RR,$29.90,03/01/23,
L2000,,$680.39,03/01/23,
L2000,NU,$680.39,03/01/23,
L2000,RR,$68.04,03/01/23,
L2005,,"$2,955.39",03/01/23,
L2005,NU,"$2,955.39",03/01/23,
L2005,RR,$295.54,03/01/23,
L2010,,$664.42,03/01/23,
L2010,NU,$664.42,03/01/23,
L2010,RR,$66.44,03/01/23,
L2020,,$783.27,03/01/23,
L2020,NU,$783.27,03/01/23,
L2020,RR,$78.33,03/01/23,
L2030,,$687.04,03/01/23,
L2030,NU,$687.04,03/01/23,
L2030,RR,$68.71,03/01/23,
L2034,,"$1,514.57",03/01/23,
L2034,NU,"$1,514.57",03/01/23,
L2034,RR,$151.46,03/01/23,
L2035,,$124.95,03/01/23,
L2035,NU,$124.95,03/01/23,
L2035,RR,$12.50,03/01/23,
L2036,,"$1,307.76",03/01/23,
L2036,NU,"$1,307.76",03/01/23,
L2036,RR,$130.78,03/01/23,
L2037,,"$1,117.29",03/01/23,
L2037,NU,"$1,117.29",03/01/23,
L2037,RR,$111.73,03/01/23,
L2038,,$959.08,03/01/23,
L2038,NU,$959.08,03/01/23,
L2038,RR,$95.91,03/01/23,
L2040,,$119.10,03/01/23,
L2040,NU,$119.10,03/01/23,
L2040,RR,$11.91,03/01/23,
L2050,,$379.05,03/01/23,
L2050,NU,$379.05,03/01/23,
L2050,RR,$37.90,03/01/23,
L2060,,$438.57,03/01/23,
L2060,NU,$438.57,03/01/23,
L2060,RR,$43.86,03/01/23,
L2070,,$90.89,03/01/23,
L2070,NU,$90.89,03/01/23,
L2070,RR,$9.09,03/01/23,
L2080,,$257.79,03/01/23,
L2080,NU,$257.79,03/01/23,
L2080,RR,$25.78,03/01/23,
L2090,,$312.44,03/01/23,
L2090,NU,$312.44,03/01/23,
L2090,RR,$31.25,03/01/23,
L2106,,$561.34,03/01/23,
L2106,NU,$561.34,03/01/23,
L2106,RR,$56.13,03/01/23,
L2108,,$779.86,03/01/23,
L2108,NU,$779.86,03/01/23,
L2108,RR,$77.99,03/01/23,
L2112,,$379.95,03/01/23,
L2112,NU,$379.95,03/01/23,
L2112,RR,$38.00,03/01/23,
L2114,,$439.84,03/01/23,
L2114,NU,$439.84,03/01/23,
L2114,RR,$43.98,03/01/23,
L2116,,$526.95,03/01/23,
L2116,NU,$526.95,03/01/23,
L2116,RR,$52.69,03/01/23,
L2126,,$803.26,03/01/23,
L2126,NU,$803.26,03/01/23,
L2126,RR,$80.33,03/01/23,
L2128,,"$1,150.25",03/01/23,
L2128,NU,"$1,150.25",03/01/23,
L2128,RR,$115.03,03/01/23,
L2132,,$610.46,03/01/23,
L2132,NU,$610.46,03/01/23,
L2132,RR,$61.04,03/01/23,
L2134,,$763.51,03/01/23,
L2134,NU,$763.51,03/01/23,
L2134,RR,$76.35,03/01/23,
L2136,,$864.42,03/01/23,
L2136,NU,$864.42,03/01/23,
L2136,RR,$86.44,03/01/23,
L2180,,$104.75,03/01/23,
L2180,NU,$104.75,03/01/23,
L2180,RR,$10.47,03/01/23,
L2182,,$76.95,03/01/23,
L2182,NU,$76.95,03/01/23,
L2182,RR,$7.70,03/01/23,
L2184,,$99.98,03/01/23,
L2184,NU,$99.98,03/01/23,
L2184,RR,$10.00,03/01/23,
L2186,,$100.99,03/01/23,
L2186,NU,$100.99,03/01/23,
L2186,RR,$10.10,03/01/23,
L2188,,$235.00,03/01/23,
L2188,NU,$235.00,03/01/23,
L2188,RR,$23.50,03/01/23,
L2190,,$67.16,03/01/23,
L2190,NU,$67.16,03/01/23,
L2190,RR,$6.72,03/01/23,
L2192,,$264.57,03/01/23,
L2192,NU,$264.57,03/01/23,
L2192,RR,$26.46,03/01/23,
L2200,,$42.52,03/01/23,
L2200,NU,$42.52,03/01/23,
L2200,RR,$4.25,03/01/23,
L2210,,$45.09,03/01/23,
L2210,NU,$45.09,03/01/23,
L2210,RR,$4.51,03/01/23,
L2220,,$58.60,03/01/23,
L2220,NU,$58.60,03/01/23,
L2220,RR,$5.86,03/01/23,
L2230,,$54.16,03/01/23,
L2230,NU,$54.16,03/01/23,
L2230,RR,$5.41,03/01/23,
L2232,,$69.69,03/01/23,
L2232,NU,$69.69,03/01/23,
L2232,RR,$6.97,03/01/23,
L2240,,$56.11,03/01/23,
L2240,NU,$56.11,03/01/23,
L2240,RR,$5.61,03/01/23,
L2250,,$238.35,03/01/23,
L2250,NU,$238.35,03/01/23,
L2250,RR,$23.83,03/01/23,
L2260,,$138.77,03/01/23,
L2260,NU,$138.77,03/01/23,
L2260,RR,$13.88,03/01/23,
L2265,,$105.33,03/01/23,
L2265,NU,$105.33,03/01/23,
L2265,RR,$10.53,03/01/23,
L2270,,$36.03,03/01/23,
L2270,NU,$36.03,03/01/23,
L2270,RR,$3.60,03/01/23,
L2275,,$87.65,03/01/23,
L2275,NU,$87.65,03/01/23,
L2275,RR,$8.77,03/01/23,
L2280,,$303.75,03/01/23,
L2280,NU,$303.75,03/01/23,
L2280,RR,$30.38,03/01/23,
L2300,,$240.82,03/01/23,
L2300,NU,$240.82,03/01/23,
L2300,RR,$24.08,03/01/23,
L2310,,$110.03,03/01/23,
L2310,NU,$110.03,03/01/23,
L2310,RR,$11.00,03/01/23,
L2320,,$150.59,03/01/23,
L2320,NU,$150.59,03/01/23,
L2320,RR,$15.06,03/01/23,
L2330,,$279.17,03/01/23,
L2330,NU,$279.17,03/01/23,
L2330,RR,$27.91,03/01/23,
L2335,,$152.39,03/01/23,
L2335,NU,$152.39,03/01/23,
L2335,RR,$15.24,03/01/23,
L2340,,$371.78,03/01/23,
L2340,NU,$371.78,03/01/23,
L2340,RR,$37.18,03/01/23,
L2350,,$636.93,03/01/23,
L2350,NU,$636.93,03/01/23,
L2350,RR,$63.70,03/01/23,
L2360,,$46.27,03/01/23,
L2360,NU,$46.27,03/01/23,
L2360,RR,$4.63,03/01/23,
L2370,,$196.86,03/01/23,
L2370,NU,$196.86,03/01/23,
L2370,RR,$19.69,03/01/23,
L2375,,$101.06,03/01/23,
L2375,NU,$101.06,03/01/23,
L2375,RR,$10.10,03/01/23,
L2380,,$110.11,03/01/23,
L2380,NU,$110.11,03/01/23,
L2380,RR,$11.01,03/01/23,
L2385,,$116.00,03/01/23,
L2385,NU,$116.00,03/01/23,
L2385,RR,$11.60,03/01/23,
L2387,,$111.02,03/01/23,
L2387,NU,$111.02,03/01/23,
L2387,RR,$11.10,03/01/23,
L2390,,$73.43,03/01/23,
L2390,NU,$73.43,03/01/23,
L2390,RR,$7.34,03/01/23,
L2395,,$139.94,03/01/23,
L2395,NU,$139.94,03/01/23,
L2395,RR,$13.99,03/01/23,
L2397,,$78.62,03/01/23,
L2397,NU,$78.62,03/01/23,
L2397,RR,$7.86,03/01/23,
L2405,,$62.89,03/01/23,
L2405,NU,$62.89,03/01/23,
L2405,RR,$6.29,03/01/23,
L2415,,$87.60,03/01/23,
L2415,NU,$87.60,03/01/23,
L2415,RR,$8.76,03/01/23,
L2425,,$103.39,03/01/23,
L2425,NU,$103.39,03/01/23,
L2425,RR,$10.34,03/01/23,
L2430,,$103.39,03/01/23,
L2430,NU,$103.39,03/01/23,
L2430,RR,$10.34,03/01/23,
L2492,,$76.35,03/01/23,
L2492,NU,$76.35,03/01/23,
L2492,RR,$7.64,03/01/23,
L2500,,$246.77,03/01/23,
L2500,NU,$246.77,03/01/23,
L2500,RR,$24.68,03/01/23,
L2510,,$559.70,03/01/23,
L2510,NU,$559.70,03/01/23,
L2510,RR,$55.97,03/01/23,
L2520,,$353.33,03/01/23,
L2520,NU,$353.33,03/01/23,
L2520,RR,$35.33,03/01/23,
L2525,,$817.71,03/01/23,
L2525,NU,$817.71,03/01/23,
L2525,RR,$81.77,03/01/23,
L2526,,$459.47,03/01/23,
L2526,NU,$459.47,03/01/23,
L2526,RR,$45.95,03/01/23,
L2530,,$158.90,03/01/23,
L2530,NU,$158.90,03/01/23,
L2530,RR,$15.89,03/01/23,
L2540,,$301.68,03/01/23,
L2540,NU,$301.68,03/01/23,
L2540,RR,$30.17,03/01/23,
L2550,,$192.66,03/01/23,
L2550,NU,$192.66,03/01/23,
L2550,RR,$19.26,03/01/23,
L2570,,$426.01,03/01/23,
L2570,NU,$426.01,03/01/23,
L2570,RR,$42.60,03/01/23,
L2580,,$311.32,03/01/23,
L2580,NU,$311.32,03/01/23,
L2580,RR,$31.13,03/01/23,
L2600,,$183.70,03/01/23,
L2600,NU,$183.70,03/01/23,
L2600,RR,$18.37,03/01/23,
L2610,,$217.21,03/01/23,
L2610,NU,$217.21,03/01/23,
L2610,RR,$21.72,03/01/23,
L2620,,$209.88,03/01/23,
L2620,NU,$209.88,03/01/23,
L2620,RR,$20.98,03/01/23,
L2622,,$274.28,03/01/23,
L2622,NU,$274.28,03/01/23,
L2622,RR,$27.43,03/01/23,
L2624,,$238.52,03/01/23,
L2624,NU,$238.52,03/01/23,
L2624,RR,$23.85,03/01/23,
L2627,,"$1,149.96",03/01/23,
L2627,NU,"$1,149.96",03/01/23,
L2627,RR,$114.99,03/01/23,
L2628,,"$1,123.86",03/01/23,
L2628,NU,"$1,123.86",03/01/23,
L2628,RR,$112.38,03/01/23,
L2630,,$196.42,03/01/23,
L2630,NU,$196.42,03/01/23,
L2630,RR,$19.65,03/01/23,
L2640,,$258.22,03/01/23,
L2640,NU,$258.22,03/01/23,
L2640,RR,$25.82,03/01/23,
L2650,,$96.97,03/01/23,
L2650,NU,$96.97,03/01/23,
L2650,RR,$9.70,03/01/23,
L2660,,$151.01,03/01/23,
L2660,NU,$151.01,03/01/23,
L2660,RR,$15.10,03/01/23,
L2670,,$152.57,03/01/23,
L2670,NU,$152.57,03/01/23,
L2670,RR,$15.26,03/01/23,
L2680,,$139.96,03/01/23,
L2680,NU,$139.96,03/01/23,
L2680,RR,$13.99,03/01/23,
L2750,,$73.73,03/01/23,
L2750,NU,$73.73,03/01/23,
L2750,RR,$7.37,03/01/23,
L2755,,$94.26,03/01/23,
L2755,NU,$94.26,03/01/23,
L2755,RR,$9.42,03/01/23,
L2760,,$54.35,03/01/23,
L2760,NU,$54.35,03/01/23,
L2760,RR,$5.43,03/01/23,
L2768,,$93.95,03/01/23,
L2768,NU,$93.95,03/01/23,
L2768,RR,$9.40,03/01/23,
L2780,,$45.40,03/01/23,
L2780,NU,$45.40,03/01/23,
L2780,RR,$4.54,03/01/23,
L2785,,$21.26,03/01/23,
L2785,NU,$21.26,03/01/23,
L2785,RR,$2.13,03/01/23,
L2795,,$65.70,03/01/23,
L2795,NU,$65.70,03/01/23,
L2795,RR,$6.57,03/01/23,
L2800,,$71.56,03/01/23,
L2800,NU,$71.56,03/01/23,
L2800,RR,$7.15,03/01/23,
L2810,,$58.32,03/01/23,
L2810,NU,$58.32,03/01/23,
L2810,RR,$5.83,03/01/23,
L2820,,$58.26,03/01/23,
L2820,NU,$58.26,03/01/23,
L2820,RR,$5.83,03/01/23,
L2830,,$63.02,03/01/23,
L2830,NU,$63.02,03/01/23,
L2830,RR,$6.30,03/01/23,
L2840,,$39.08,03/01/23,
L2840,NU,$39.08,03/01/23,
L2840,RR,$3.91,03/01/23,
L2850,,$44.69,03/01/23,
L2850,NU,$44.69,03/01/23,
L2850,RR,$4.47,03/01/23,
L2861,,$226.13,03/01/23,
L2861,NU,$226.13,03/01/23,
L2861,RR,$22.61,03/01/23,
L3000,,$226.56,03/01/23,
L3000,NU,$226.56,03/01/23,
L3000,RR,$22.66,03/01/23,
L3001,,$95.39,03/01/23,
L3001,NU,$95.39,03/01/23,
L3001,RR,$9.54,03/01/23,
L3002,,$116.47,03/01/23,
L3002,NU,$116.47,03/01/23,
L3002,RR,$11.65,03/01/23,
L3003,,$125.67,03/01/23,
L3003,NU,$125.67,03/01/23,
L3003,RR,$12.57,03/01/23,
L3010,,$125.67,03/01/23,
L3010,NU,$125.67,03/01/23,
L3010,RR,$12.57,03/01/23,
L3020,,$143.09,03/01/23,
L3020,NU,$143.09,03/01/23,
L3020,RR,$14.31,03/01/23,
L3030,,$55.05,03/01/23,
L3030,NU,$55.05,03/01/23,
L3030,RR,$5.51,03/01/23,
L3031,,$88.33,03/01/23,
L3031,NU,$88.33,03/01/23,
L3031,RR,$8.83,03/01/23,
L3040,,$33.94,03/01/23,
L3040,NU,$33.94,03/01/23,
L3040,RR,$3.39,03/01/23,
L3050,,$33.94,03/01/23,
L3050,NU,$33.94,03/01/23,
L3050,RR,$3.39,03/01/23,
L3060,,$53.20,03/01/23,
L3060,NU,$53.20,03/01/23,
L3060,RR,$5.32,03/01/23,
L3070,,$22.93,03/01/23,
L3070,NU,$22.93,03/01/23,
L3070,RR,$2.29,03/01/23,
L3080,,$22.93,03/01/23,
L3080,NU,$22.93,03/01/23,
L3080,RR,$2.29,03/01/23,
L3090,,$29.36,03/01/23,
L3090,NU,$29.36,03/01/23,
L3090,RR,$2.94,03/01/23,
L3100,,$31.17,03/01/23,
L3100,NU,$31.17,03/01/23,
L3100,RR,$3.11,03/01/23,
L3140,,$64.23,03/01/23,
L3140,NU,$64.23,03/01/23,
L3140,RR,$6.43,03/01/23,
L3150,,$58.70,03/01/23,
L3150,NU,$58.70,03/01/23,
L3150,RR,$5.87,03/01/23,
L3170,,$36.69,03/01/23,
L3170,NU,$36.69,03/01/23,
L3170,RR,$3.67,03/01/23,
L3204,,$32.73,03/01/23,
L3204,NU,$32.73,03/01/23,
L3204,RR,$3.27,03/01/23,
L3206,,$47.57,03/01/23,
L3206,NU,$47.57,03/01/23,
L3206,RR,$4.76,03/01/23,
L3208,,$37.50,03/01/23,
L3208,NU,$37.50,03/01/23,
L3208,RR,$3.75,03/01/23,
L3212,,$54.26,03/01/23,
L3212,NU,$54.26,03/01/23,
L3212,RR,$5.43,03/01/23,
L3215,,$65.70,03/01/23,
L3215,NU,$65.70,03/01/23,
L3215,RR,$6.57,03/01/23,
L3216,,$52.35,03/01/23,
L3216,NU,$52.35,03/01/23,
L3216,RR,$5.24,03/01/23,
L3219,,$76.53,03/01/23,
L3219,NU,$76.53,03/01/23,
L3219,RR,$7.65,03/01/23,
L3221,,$51.94,03/01/23,
L3221,NU,$51.94,03/01/23,
L3221,RR,$5.19,03/01/23,
L3222,,$30.00,03/01/23,
L3222,NU,$30.00,03/01/23,
L3222,RR,$3.00,03/01/23,
L3224,,$39.45,03/01/23,
L3224,NU,$39.45,03/01/23,
L3224,RR,$3.94,03/01/23,
L3225,,$46.25,03/01/23,
L3225,NU,$46.25,03/01/23,
L3225,RR,$4.62,03/01/23,
L3230,,$114.94,03/01/23,
L3230,NU,$114.94,03/01/23,
L3230,RR,$11.49,03/01/23,
L3252,,$65.00,03/01/23,
L3252,NU,$65.00,03/01/23,
L3252,RR,$6.50,03/01/23,
L3257,,$22.50,03/01/23,
L3257,NU,$22.50,03/01/23,
L3257,RR,$2.25,03/01/23,
L3260,,$14.58,03/01/23,
L3260,NU,$14.58,03/01/23,
L3260,RR,$1.46,03/01/23,
L3265,,$14.57,03/01/23,
L3265,NU,$14.57,03/01/23,
L3265,RR,$1.46,03/01/23,
L3300,,$37.60,03/01/23,
L3300,NU,$37.60,03/01/23,
L3300,RR,$3.76,03/01/23,
L3310,,$60.00,03/01/23,
L3310,NU,$60.00,03/01/23,
L3310,RR,$6.00,03/01/23,
L3320,,$60.00,03/01/23,
L3320,NU,$60.00,03/01/23,
L3320,RR,$6.00,03/01/23,
L3330,,$408.18,03/01/23,
L3330,NU,$408.18,03/01/23,
L3330,RR,$40.82,03/01/23,
L3332,,$53.20,03/01/23,
L3332,NU,$53.20,03/01/23,
L3332,RR,$5.32,03/01/23,
L3334,,$27.52,03/01/23,
L3334,NU,$27.52,03/01/23,
L3334,RR,$2.75,03/01/23,
L3340,,$61.44,03/01/23,
L3340,NU,$61.44,03/01/23,
L3340,RR,$6.15,03/01/23,
L3350,,$16.50,03/01/23,
L3350,NU,$16.50,03/01/23,
L3350,RR,$1.65,03/01/23,
L3360,,$25.68,03/01/23,
L3360,NU,$25.68,03/01/23,
L3360,RR,$2.57,03/01/23,
L3370,,$35.77,03/01/23,
L3370,NU,$35.77,03/01/23,
L3370,RR,$3.58,03/01/23,
L3380,,$35.77,03/01/23,
L3380,NU,$35.77,03/01/23,
L3380,RR,$3.58,03/01/23,
L3390,,$35.77,03/01/23,
L3390,NU,$35.77,03/01/23,
L3390,RR,$3.58,03/01/23,
L3400,,$29.36,03/01/23,
L3400,NU,$29.36,03/01/23,
L3400,RR,$2.94,03/01/23,
L3410,,$66.98,03/01/23,
L3410,NU,$66.98,03/01/23,
L3410,RR,$6.70,03/01/23,
L3420,,$39.43,03/01/23,
L3420,NU,$39.43,03/01/23,
L3420,RR,$3.94,03/01/23,
L3430,,$115.58,03/01/23,
L3430,NU,$115.58,03/01/23,
L3430,RR,$11.56,03/01/23,
L3440,,$55.05,03/01/23,
L3440,NU,$55.05,03/01/23,
L3440,RR,$5.51,03/01/23,
L3450,,$76.12,03/01/23,
L3450,NU,$76.12,03/01/23,
L3450,RR,$7.61,03/01/23,
L3455,,$29.36,03/01/23,
L3455,NU,$29.36,03/01/23,
L3455,RR,$2.94,03/01/23,
L3460,,$24.76,03/01/23,
